file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,146,annual_income,snake_case,snake_case_reference,output_contract_field,,"annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,145,annual_perfect_text,snake_case,object_key,output_contract_field,,"lost_rate_pct: 100 - output_contract.fill_percent, annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,146,annual_real_text,snake_case,object_key,output_contract_field,,"annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,135,cost_pct,snake_case,object_key,output_contract_field,,"cost_pct: output_contract.cost_pct, labour_pct: output_contract.labour_pct,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,131,cost_value,snake_case,object_key,output_contract_field,,"cost_value: format_currency(output_contract.cost_value), labour_value: format_currency(output_contract.labour_value),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,95,crew_days,snake_case,snake_case_reference,output_contract_field,,"label: ""Crew days"", value: `${output_contract.crew_days.toFixed(1)} days`, },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,52,direct_cost,snake_case,snake_case_reference,output_contract_field,,"label: ""Direct operating cost"", value: format_rate(output_contract.direct_cost), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,140,equivalent_rate,snake_case,snake_case_reference,output_contract_field,,"headline_rate_text: format_rate(output_contract.labour_rate), equivalent_rate_text: format_rate(output_contract.equivalent_rate), headline_rate_value: format_rate(output_contract.labour_rate),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,142,equivalent_rate,snake_case,snake_case_reference,output_contract_field,,"headline_rate_value: format_rate(output_contract.labour_rate), equivalent_rate_value: format_rate(output_contract.equivalent_rate), headline_rate_pct: output_contract.fill_percent,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,140,equivalent_rate_text,snake_case,object_key,output_contract_field,,"headline_rate_text: format_rate(output_contract.labour_rate), equivalent_rate_text: format_rate(output_contract.equivalent_rate), headline_rate_value: format_rate(output_contract.labour_rate),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,142,equivalent_rate_value,snake_case,object_key,output_contract_field,,"headline_rate_value: format_rate(output_contract.labour_rate), equivalent_rate_value: format_rate(output_contract.equivalent_rate), headline_rate_pct: output_contract.fill_percent,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,143,fill_percent,snake_case,snake_case_reference,output_contract_field,,"equivalent_rate_value: format_rate(output_contract.equivalent_rate), headline_rate_pct: output_contract.fill_percent, lost_rate_pct: 100 - output_contract.fill_percent,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,144,fill_percent,snake_case,snake_case_reference,output_contract_field,,"headline_rate_pct: output_contract.fill_percent, lost_rate_pct: 100 - output_contract.fill_percent, annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,129,format_currency,snake_case,snake_case_reference,output_contract_field,,"total_job_value: format_currency(output_contract.total_job_price),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,131,format_currency,snake_case,snake_case_reference,output_contract_field,,"cost_value: format_currency(output_contract.cost_value), labour_value: format_currency(output_contract.labour_value),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,132,format_currency,snake_case,snake_case_reference,output_contract_field,,"cost_value: format_currency(output_contract.cost_value), labour_value: format_currency(output_contract.labour_value), remaining_value: format_currency(output_contract.remaining_value),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,133,format_currency,snake_case,snake_case_reference,output_contract_field,,"labour_value: format_currency(output_contract.labour_value), remaining_value: format_currency(output_contract.remaining_value),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,145,format_currency,snake_case,snake_case_reference,output_contract_field,,"lost_rate_pct: 100 - output_contract.fill_percent, annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,146,format_currency,snake_case,snake_case_reference,output_contract_field,,"annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,56,format_currency,snake_case,snake_case_reference,output_contract_field,,"label: ""Weekly buffer"", value: format_currency(output_contract.weekly_buffer), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,85,format_currency,snake_case,snake_case_reference,output_contract_field,,"label: ""Total job value"", value: format_currency(output_contract.total_job_price), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,33,format_hours,snake_case,snake_case_reference,output_contract_field,,"label: ""Paid hours per year"", value: format_hours(output_contract.paid_hours_per_year), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,37,format_hours,snake_case,snake_case_reference,output_contract_field,,"label: ""Unpaid time across the year"", value: format_hours(output_contract.non_working_hours), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,41,format_hours,snake_case,snake_case_reference,output_contract_field,,"label: ""Hours you actually work"", value: format_hours(output_contract.working_hours), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,60,format_hours,snake_case,snake_case_reference,output_contract_field,,"label: ""Hours per week"", value: format_hours(output_contract.labour_hours), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,91,format_hours,snake_case,snake_case_reference,output_contract_field,,"label: ""Hours per person"", value: format_hours(output_contract.hours_per_person), },"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,139,format_rate,snake_case,snake_case_reference,output_contract_field,,"headline_rate_text: format_rate(output_contract.labour_rate), equivalent_rate_text: format_rate(output_contract.equivalent_rate),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,140,format_rate,snake_case,snake_case_reference,output_contract_field,,"headline_rate_text: format_rate(output_contract.labour_rate), equivalent_rate_text: format_rate(output_contract.equivalent_rate), headline_rate_value: format_rate(output_contract.labour_rate),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,141,format_rate,snake_case,snake_case_reference,output_contract_field,,"equivalent_rate_text: format_rate(output_contract.equivalent_rate), headline_rate_value: format_rate(output_contract.labour_rate), equivalent_rate_value: format_rate(output_contract.equivalent_rate),"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,142,format_rate,snake_case,snake_case_reference,output_contract_field,,"headline_rate_value: format_rate(output_contract.labour_rate), equivalent_rate_value: format_rate(output_contract.equivalent_rate), headline_rate_pct: output_contract.fill_percent,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,22,format_rate,snake_case,snake_case_reference,output_contract_field,,const primary_value = format_rate(output_contract.primary_value);
