"module_name","variable_name","audit_status","code_present","brief_present","code_role","brief_role","code_files","brief_files","notes"
"general-overheads","actions","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","allocation_outputs","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","build_general_overhead_allocation_outputs","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","current_overhead_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","employee_overheads_check","code_only_not_in_brief","yes","no","output_contract_field","","lib\reconciliation\reconciliationRules.js","","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads","code_only_not_in_brief","yes","no","output_contract_field","","app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads_benchmark_total","code_only_not_in_brief","yes","no","output_contract_field","","lib\reconciliation\reconciliationRules.js","","implemented_contract_not_documented_in_brief"
"general-overheads","overhead_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js","","implemented_contract_not_documented_in_brief"
"general-overheads","pool_key","code_only_not_in_brief","yes","no","output_contract_field","","components\general-overheads\GeneralOverheadSummaryCard.jsx","","implemented_contract_not_documented_in_brief"
"general-overheads","system_allocation_amount_overrides","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
